Bag,Sect,Depth top [m],Depth bot [m],Depth ice/snow [m],Grains [#] (Fabric Analyzer G50 (FA)),Grain size mean [pixel] (Fabric Analyzer G50 (FA)),"Sum vector norm (sum_vector_norm, Fabric Analy...)",Pref orient [%] (Fabric Analyzer G50 (FA)),Pref orient [%] (Weighted),Conc param (Fabric Analyzer G50 (FA)),Conc param (Weighted),Spherical apt [deg] (Fabric Analyzer G50 (FA)),Spherical apt [deg] (Weighted),EVA1 (Fabric Analyzer G50 (FA)),EVA1 (Weighted),EVA2 (Fabric Analyzer G50 (FA)),EVA2 (Weighted),EVA3 (Fabric Analyzer G50 (FA)),EVA3 (Weighted),Woodcock param (Fabric Analyzer G50 (FA)),Woodcock param (Weighted),Grain area [mm**2] (Fabric Analyzer G50 (FA))
1208,3,664.03,664.13,664.08,1025,10941,0.737752,47.5504,43.1344,3.81318,3.51364,46.4041,48.9783,0.012557,0.0116038,0.357384,0.398085,0.630059,0.590311,0.169329,0.111442,4.3764
1214,1,667.15,667.24,667.2,521,22380,0.699336,39.8673,22.4847,3.32598,2.57518,50.8461,61.7964,0.0164566,0.0166239,0.407072,0.467954,0.576471,0.515422,0.108449,0.0289486,8.952
1214,2,667.24,667.33,667.29,798,14518,0.747797,49.5593,39.4582,3.96505,3.29936,45.2525,51.1302,0.0160792,0.0154995,0.350506,0.398894,0.633415,0.585607,0.19201,0.118216,5.8072
1214,3,667.33,667.43,667.38,614,15834,0.65954,31.9079,36.7058,2.9372,3.1547,55.6067,52.7711,0.0149845,0.0155028,0.385452,0.420197,0.599563,0.564301,0.136043,0.0893609,6.3336
1214,4,667.43,667.52,667.47,679,17131,0.748698,49.7397,31.0555,3.97928,2.89661,45.1492,56.1955,0.0141821,0.0161711,0.316962,0.41574,0.668856,0.568088,0.240372,0.0961601,6.8524
1214,5,667.52,667.61,667.56,832,14560,0.739089,47.8177,22.2967,3.83272,2.5708,46.2507,61.8876,0.0146948,0.0149217,0.370109,0.428487,0.615196,0.556591,0.157501,0.0779076,5.824
1214,6,667.61,667.7,667.65,778,12726,0.663684,32.7367,31.4263,2.97339,2.91282,55.099,55.9577,0.0134531,0.0125348,0.431664,0.448301,0.554883,0.539164,0.0723981,0.0515953,5.0904
1247,1,685.3,685.39,685.35,703,16013,0.727074,45.4147,24.2039,3.66399,2.63491,47.6309,60.6018,0.00789861,0.0104353,0.392168,0.455529,0.599933,0.534035,0.108867,0.0421056,6.4052
1247,2,685.39,685.48,685.44,482,18820,0.726877,45.3754,29.3715,3.66135,2.82584,47.6535,57.2756,0.00973704,0.0118203,0.386849,0.467042,0.603414,0.521138,0.120738,0.0298093,7.528
1247,3,685.48,685.58,685.53,480,24627,0.706188,41.2376,36.7368,3.40354,3.15481,50.0465,52.7698,0.0124611,0.0119357,0.401264,0.419611,0.586275,0.568453,0.109208,0.0852827,9.8508
